ipo_id,company_name,nse_symbol_approx,exchange,year,open_date_approx,close_date_approx,listing_date,issue_price_inr,listing_open_inr_approx,listing_return_pct_approx,issue_size_type,sebi_nii_regime,timeline_regime,source_issue_price,source_listing_price,data_quality_issue_price,data_quality_listing_price,notes
24,Life Insurance Corporation (LIC),LICI,NSE+BSE,2022,,2022-05-04,2022-05-09,949,872,-8.1,Book-built (PSU OFS),PRE_2022,T6,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,"Largest Indian IPO ever (at time). Issue price ₹949 retail; ₹902 for policyholders (6% discount). QIB sub ~2.83x; retail sub ~1.99x; very low subscription vs. IPO size"
25,Hariom Pipe Industries Ltd,HARIOMPIPE,NSE+BSE,2022,,,2022,UNKNOWN,UNKNOWN,+51.0,Book-built,PRE_2022,T6,Named news (IPOCentral),Named news (IPOCentral),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Highest listing gain in 2022; exact price not confirmed
26,DCX Systems Ltd,DCXINDIA,NSE+BSE,2022,,,2022,UNKNOWN,UNKNOWN,+49.0,Book-built,PRE_2022,T6,Named news (IPOCentral),Named news (IPOCentral),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Defence electronics
27,Harsha Engineers International,HARSHA,NSE+BSE,2022,,,2022,UNKNOWN,UNKNOWN,+47.4,Book-built,PRE_2022,T6,Named news (IPOCentral),Named news (IPOCentral),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Precision engineering
28,DreamFolks Services,DREAMFOLKS,NSE+BSE,2022,,,2022,UNKNOWN,UNKNOWN,+41.8,Book-built,PRE_2022,T6,Named news (IPOCentral),Named news (IPOCentral),SECONDARY_VERIFIED,SECONDARY_VERIFIED,
29,Vibhor Steel Tubes,VIBHORSTEELS,NSE+BSE,2024,,,2024,151,425,+181.5,Book-built,POST_2022,T3,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Highest 2024 listing gain
30,Mamata Machinery Ltd,,NSE+BSE,2024,,,2024,243,600,+147.0,Book-built,POST_2022,T3,Named news (Trendlyne),Named news (Trendlyne),SECONDARY_VERIFIED,SECONDARY_VERIFIED,
31,BLS E-Services Ltd,,NSE+BSE,2024,,,2024,135,305,+126.0,Book-built,POST_2022,T3,Named news,Named news,SECONDARY_VERIFIED,SECONDARY_VERIFIED,
32,Unicommerce eSolutions Ltd,,NSE+BSE,2024,,,2024,108,235,+117.6,Book-built,POST_2022,T3,Named news,Named news,SECONDARY_VERIFIED,SECONDARY_VERIFIED,E-commerce SaaS
33,Bajaj Housing Finance Ltd,,NSE+BSE,2024,,,2024-09-16,70,150,+114.3,Book-built,POST_2022,T3,Named news (multiple),Named news (multiple),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Housing finance arm of Bajaj Finance; retail sub ~7.4x QIB ~208.7x
34,Unimech Aerospace and Manufacturing,,NSE+BSE,2024,,,2024,785,1460,+86.0,Book-built,POST_2022,T3,Named news (Trendlyne),Named news (Trendlyne),SECONDARY_VERIFIED,SECONDARY_VERIFIED,Aerospace precision parts
35,Senores Pharmaceuticals Ltd,,NSE+BSE,2024,,,2024,391,600,+53.5,Book-built,POST_2022,T3,Named news (Trendlyne),Named news (Trendlyne),SECONDARY_VERIFIED,SECONDARY_VERIFIED,
